Gender,Born year,EDU,Curloc,Residence,Job,平常在超商結帳時，你多半用什麼方式進行付款？,我都用這個：:平常在超商結帳時，你多半用什麼方式進行付款？,在百貨公司結帳時，你多半用什麼方式進行付款？,我都用這個：:在百貨公司結帳時，你多半用什麼方式進行付款？,Apple Pay:猜猜看，哪些是感應式支付、電子支付以及第三方支付呢？,Google Pay:猜猜看，哪些是感應式支付、電子支付以及第三方支付呢？,Line Pay:猜猜看，哪些是感應式支付、電子支付以及第三方支付呢？,街口支付:猜猜看，哪些是感應式支付、電子支付以及第三方支付呢？,你有使用過行動支付嗎？,是什麼原因讓你不使用行動支付呢?,我的情況是：:是什麼原因讓你不使用行動支付呢?,Apple Pay:你主要使用哪些行動支付平台？,Google Pay:你主要使用哪些行動支付平台？,台灣Pay:你主要使用哪些行動支付平台？,Pi錢包:你主要使用哪些行動支付平台？,歐付寶:你主要使用哪些行動支付平台？,街口支付:你主要使用哪些行動支付平台？,LINE Pay:你主要使用哪些行動支付平台？,支付寶:你主要使用哪些行動支付平台？,我使用的支付工具還有這個：:你主要使用哪些行動支付平台？,我使用的支付工具還有這個：:你主要使用哪些行動支付平台？,在使用習慣上，你會覺得現金還是行動支付比較好用？,我覺得是：:在使用習慣上，你會覺得現金還是行動支付比較好用？,你認為使用行動支付是更為方便還是更為麻煩？,我覺得是：:你認為使用行動支付是更為方便還是更為麻煩？,你認為使用行動支付是更為安全還是更為危險？,我覺得是：:你認為使用行動支付是更為安全還是更為危險？,「再也不用帶鈔票或信用卡出門，甚至只要帶手機就可完成日常中所有的交易行為。」乍聽之下像是科幻電影的情節，但經資料顯示，瑞典現今的現金交易僅占整體經濟的1%，甚至有許多小朋友表示從未看過鈔票。（圖片來源：https://reurl.cc/9ZDW5j）同樣的，若台灣仿效瑞典朝向「無現金社會」邁進，你會贊成嗎？,同意，我覺得是：:「再也不用帶鈔票或信用卡出門，甚至只要帶手機就可完成日常中所有的交易行為。」乍聽之下像是科幻電影的情節，但經資料顯示，瑞典現今的現金交易僅占整體經濟的1%，甚至有許多小朋友表示從未看過鈔票。（圖片來源：https://reurl.cc/9ZDW5j）同樣的，若台灣仿效瑞典朝向「無現金社會」邁進，你會贊成嗎？,不同意，我覺得是：:「再也不用帶鈔票或信用卡出門，甚至只要帶手機就可完成日常中所有的交易行為。」乍聽之下像是科幻電影的情節，但經資料顯示，瑞典現今的現金交易僅占整體經濟的1%，甚至有許多小朋友表示從未看過鈔票。（圖片來源：https://reurl.cc/9ZDW5j）同樣的，若台灣仿效瑞典朝向「無現金社會」邁進，你會贊成嗎？,同樣發生在瑞典，在無現金的社會下，早在2009年起，就有四千人選擇在身體植入NFC晶片，只要伸出手來，就可以在商店購物、或乘坐大眾運輸時感應使用。（圖片來源：https://reurl.cc/DvjAl6）看完這則新聞，你對這4000人的想法是什麼？,我的想法是：:同樣發生在瑞典，在無現金的社會下，早在2009年起，就有四千人選擇在身體植入NFC晶片，只要伸出手來，就可以在商店購物、或乘坐大眾運輸時感應使用。（圖片來源：https://reurl.cc/DvjAl6）看完這則新聞，你對這4000人的想法是什麼？,換作是你，你會願意選擇施打晶片嗎？,會，我的原因是：:換作是你，你會願意選擇施打晶片嗎？,不會，我的原因是：:換作是你，你會願意選擇施打晶片嗎？,如果台灣同樣開放施打「電子化晶片」的政策，你覺得民眾是否會買單？,我的想法是：:如果台灣同樣開放施打「電子化晶片」的政策，你覺得民眾是否會買單？,「隨著疫情的爆發，為避免透過鈔票與他人直接接觸，更多人願意加入行動支付的行列。」你同意這個判斷嗎？,同意，我覺得是：:「隨著疫情的爆發，為避免透過鈔票與他人直接接觸，更多人願意加入行動支付的行列。」你同意這個判斷嗎？,不同意，我覺得是：:「隨著疫情的爆發，為避免透過鈔票與他人直接接觸，更多人願意加入行動支付的行列。」你同意這個判斷嗎？,你認為行動支付會成為未來趨勢，還是曇花一現呢？,我的想法是：:你認為行動支付會成為未來趨勢，還是曇花一現呢？,問卷結束囉！科技的發展日新月異，不出幾年就會出現我們未曾想過的發明（例如：虛擬實境、大數據、行動支付⋯⋯等），在驚呼的同時，人們也會對未知的事物保持疑慮。（圖片來源：https://reurl.cc/GdNVXx）對於新發明的誕生，你會選擇擁抱科技還是會適時觀望呢？歡迎寫下你的想法。（如果沒有的話，請按下一頁，開始驗證流程囉！）
1,1970,5,10,10,M,2,,5,,1,2,2,2,1,,,,,3,,,,7,,,,5,,1,,1,,5,,,2,,3,,,3,,1,,,1,,
1,1985,6,2,2,M,2,,5,,1,1,2,2,1,,,,,,,,6,7,,,,5,,1,,3,,1,,,1,,4,,,3,,2,,,2,,
1,2000,5,15,15,T,1,,1,,1,2,2,3,2,6,,,,,,,,,,,,,,1,,1,,1,,,1,,4,,,2,,1,,,2,,
0,1980,4,2,1,S,1,,5,,4,4,2,2,1,,,,,,,,,7,,,,5,,1,,2,,4,,,3,,4,,,3,,4,,,5,,
1,1986,5,15,15,M,5,,5,,2,2,2,2,1,,,,,3,,,6,7,,,,4,,2,,2,,2,,,1,,3,,,3,,2,,,1,,
0,1972,6,4,4,C,3,,4,,1,1,2,2,1,,,,,,,,6,7,,,,3,,2,,2,,2,,,3,,3,,,2,,2,,,2,,
1,1981,5,15,15,I,2,,5,,1,1,2,2,1,,,1,,3,,,6,7,,,,3,,1,,1,,1,,,3,,3,,,3,,1,,,1,,
1,1973,5,2,2,S,2,,5,,2,2,2,2,1,,,,,3,,,,,,,,3,,1,,3,,1,,,1,,3,,,2,,2,,,2,,
1,1990,5,4,4,V,4,,95,,1,1,2,3,1,,,1,,,,,,7,,90,超商PAY,3,,1,,1,,5,,,95,,4,,,4,,2,,,2,,
1,2006,2,4,4,T,4,,6,,1,1,2,2,1,,,,,,,,6,7,,,,3,,2,,2,,2,,,4,,1,,,2,,2,,,2,,
0,1995,6,2,4,M,3,,5,,3,3,3,3,1,,,1,,,,,6,,,,,3,,1,,1,,1,,,1,,3,,,4,,1,,,2,,
0,1982,6,15,15,A,4,,5,,2,2,2,3,1,,,,,3,,,,7,,,,5,,2,,3,,5,,,1,,4,,,4,,1,,,1,,
0,1990,6,4,14,M,1,,5,,3,3,3,3,1,,,,,,,,,7,,,,5,,1,,3,,5,,,2,,3,,,3,,1,,,4,,
1,1989,6,11,11,S,1,,1,,1,1,1,2,1,,,,,,,,,,,90,PXpay,5,,2,,2,,1,,,1,,4,,,4,,2,,,2,,無
0,1991,5,15,15,M,5,,5,,4,4,2,4,1,,,,,,,,,7,,,,4,,2,,3,,2,,,3,,4,,,3,,2,,,1,,
0,1992,5,14,14,M,4,,5,,1,4,2,2,1,,,,,,,,,7,,,,3,,1,,2,,1,,,3,,4,,,3,,2,,,2,,
1,1981,5,4,4,S,5,,1,,4,4,4,4,2,1,,,,,,,,,,,,,,4,,4,,5,,,95,,4,,,4,,5,,,5,,
0,2013,1,4,4,T,3,,5,,1,1,2,2,1,,,,,,,5,,,,,,2,,2,,2,,1,,,3,,1,,,2,,1,,,2,,
1,1994,6,16,16,Q,1,,5,,1,1,3,3,2,2,,,,,,,,,,,,,,2,,3,,5,,,95,,4,,,2,,4,,,5,,
0,1990,5,4,4,Q,1,,95,,4,4,4,3,2,6,,,,,,,,,,,,,,3,,4,,5,,,95,,4,,,3,,4,,,5,,
0,1987,5,7,7,M,95,,95,,2,2,2,2,1,,,1,,,,,,7,,,,3,,1,,1,,1,,,2,,3,,,2,,1,,,2,,
1,1978,5,1,1,S,3,,5,,1,1,2,2,1,,,1,,,,,,,,,,3,,1,,1,,1,,,1,,4,,,3,,4,,,2,,
0,1978,5,4,4,S,2,,5,,3,2,1,3,1,,,,,,,,,7,,,,5,,2,,1,,1,,,3,,3,,,1,,1,,,1,,
1,1982,3,13,13,V,1,,1,,3,3,3,3,2,90,戶口沒錢,,,,,,,,,,,,,2,,4,,5,,,1,,4,,,2,,2,,,3,,
0,1984,6,15,15,P,5,,5,,1,2,3,3,1,,,,,3,,,6,7,,,,5,,90,更為麻煩，要看選哪個優惠比較多,1,,5,,,2,,3,,,2,,2,,,1,,慢慢的擁抱科技
1,1997,5,14,14,S,1,,1,,3,3,2,2,2,3,,,,,,,,,,,,,,2,,3,,2,,,1,,3,,,2,,2,,,2,,
1,1995,3,9,9,T,1,,1,,2,2,2,2,2,1,,,,,,,,,,,,,,2,,4,,4,,,3,,4,,,4,,4,,,3,,
0,1985,5,8,8,S,1,,5,,2,2,2,2,1,,,,,3,,,,7,,,,91,,1,,4,,1,,,3,,4,,,2,,2,,,2,,
0,1999,5,1,1,T,4,,6,,1,1,2,2,1,,,,,,,,6,7,,,,3,,1,,1,,1,,,2,,3,,,3,,2,,,1,,
1,1997,5,11,11,T,1,,1,,4,2,2,4,1,,,,2,,,,,,,,,1,,4,,3,,1,,,1,,1,,,1,,1,,,1,,
0,1992,5,16,16,P,4,,6,,1,4,2,3,1,,,1,,,4,,6,7,,,,3,,1,,3,,1,,,2,,3,,,3,,2,,,5,,新科技的出現更人的生活更加便利，但配套措施及部員改變的族群仍有阻力存在，希望能夠看到台灣持續進步。未來期望能有電子支付相關法規制定，並統一整合管道，各家廠商都擁有自己的支付方式反而成為支付濫觴。
0,1984,5,14,14,V,90,領貨用現金，極少數購物用商品卡,95,,4,4,4,4,2,1,,,,,,,,,,,,,,1,,3,,5,,,1,,3,,,2,,2,,,5,,
0,1979,3,2,2,U,1,,95,,4,4,4,4,2,3,,,,,,,,,,,,,,4,,4,,5,,,95,,4,,,4,,2,,,3,,
0,1984,3,2,2,C,1,,1,,3,3,3,3,2,3,,,,,,,,,,,,,,4,,3,,4,,,3,,4,,,4,,4,,,3,,
0,1989,5,13,13,S,1,,1,,2,2,2,3,1,,,,,,,,,7,,,,1,,4,,4,,4,,,95,,4,,,4,,2,,,5,,
0,1998,2,14,15,T,1,,1,,3,3,3,3,2,1,,,,,,,,,,,,,,4,,3,,5,,,4,,4,,,3,,5,,,4,,
0,1986,5,15,15,L,3,,5,,1,3,2,1,1,,,,,,,,,7,,,,3,,2,,3,,2,,,3,,4,,,3,,2,,,4,,
1,1984,5,9,8,Q,4,,5,,2,2,2,2,1,,,,,,,,,7,,,,3,,1,,1,,5,,,4,,4,,,4,,2,,,1,,
0,1963,4,8,8,U,3,,5,,4,4,1,4,1,,,,,,,,,7,,,,3,,1,,1,,1,,,90,侵入性醫療要慎重,4,,,3,,1,,,2,,
0,1973,4,2,1,S,2,,1,,2,4,3,2,1,,,,,,,,,7,,,,1,,2,,2,,5,,,3,,4,,,4,,2,,,2,,
0,1969,3,8,8,U,1,,1,,4,4,4,4,1,,,,,,,,,7,,,,91,,1,,1,,1,,,1,,1,,,3,,1,,,2,,
0,1963,4,2,2,I,1,,5,,2,2,2,3,2,1,,,,,,,,,,,,,,1,,4,,1,,,1,,4,,,3,,1,,,2,,
0,1988,6,2,2,J,1,,5,,2,3,2,2,1,,,,2,3,,,,7,,,,3,,2,,3,,1,,,1,,3,,,2,,1,,,1,,
0,1975,4,16,16,U,5,,95,,4,3,3,3,2,3,,,,,,,,,,,,,,1,,1,,4,,,2,,4,,,3,,2,,,2,,
0,1986,5,1,2,S,4,,5,,1,1,2,2,1,,,,,,,,6,7,,,,3,,1,,1,,1,,,1,,3,,,4,,1,,,2,,
0,1989,5,6,6,T,1,,1,,4,4,4,4,2,3,,,,,,,,,,,,,,4,,4,,5,,,3,,4,,,4,,5,,,5,,
0,1990,6,4,11,C,1,,5,,2,2,2,2,1,,,,,,4,,,7,,,,5,,4,,3,,1,,,3,,4,,,3,,2,,,2,,
0,1988,5,15,15,S,95,,5,,2,4,2,4,1,,,,,,,,,7,,,,5,,1,,3,,5,,,3,,4,,,3,,1,,,5,,
0,1996,5,15,15,T,1,,5,,1,2,2,2,1,,,,,3,,,,,,,,1,,1,,2,,1,,,3,,4,,,3,,2,,,2,,
0,1992,5,6,6,T,1,,95,,4,4,4,4,2,1,,,,,,,,,,,,,,4,,4,,5,,,3,,4,,,4,,4,,,5,,
0,1981,5,15,15,M,4,,6,,1,3,3,3,1,,,1,,,,,,7,,,,3,,2,,4,,1,,,1,,3,,,3,,2,,,2,,擁抱科技的同時，也害怕有天會回不去，當有天只能仰賴原始的時候，又該怎麼辦呢?
1,1980,5,16,16,V,1,,1,,2,3,2,3,1,,,,,,,,,7,,,,5,,1,,2,,5,,,3,,5,,怕有副作用,4,,1,,,5,,
0,1988,5,12,15,S,4,,5,,1,1,2,2,1,,,,,,,,,7,,,,4,,1,,1,,1,,,1,,5,,侵入性，盡可能避免,3,,2,,,90,是趨勢，但是需要被整合才能更好。例如：以前悠遊卡和一卡通無法跨區域使用，現在可以了,
1,1970,5,24,24,S,3,,5,,3,3,3,3,2,1,,,,,,,,,,,,,,4,,4,,5,,,4,,4,,,4,,2,,,2,,紙鈔沒用了
0,1955,1,6,6,U,95,,95,,4,4,4,4,2,6,,,,,,,,,,,,,,3,,4,,5,,,3,,4,,,4,,4,,,5,,
0,1971,5,4,2,U,1,,1,,2,2,2,2,1,,,,,,,,,7,,,,5,,1,,4,,1,,,90,目前沒這個必要吧，只是想刷存在感或是想當網紅,4,,,4,,1,,,1,,
0,1984,5,2,2,S,1,,5,,3,3,3,3,1,,,1,,,,,,7,,,,1,,1,,3,,1,,,95,,3,,,3,,2,,,1,,
1,1955,3,6,6,S,1,,1,,4,4,4,4,2,3,,,,,,,,,,,,,,4,,4,,5,,,3,,4,,,4,,4,,,5,,
0,1987,5,14,14,M,1,,95,,4,4,4,4,2,1,,,,,,,,,,,,,,4,,3,,5,,,1,,4,,,3,,1,,,5,,
1,1995,5,15,15,I,1,,5,,2,2,3,2,1,,,1,2,,,,,7,,,,5,,2,,1,,5,,,3,,3,,,3,,2,,,5,,
1,1984,6,2,2,S,1,,1,,4,4,4,4,1,,,,,,,,,7,,,,1,,2,,3,,5,,,1,,4,,,4,,4,,,5,,
0,1980,5,15,15,H,1,,1,,1,2,3,3,2,3,,,,,,,,,,,,,,90,不想先投入現金,3,,1,,,4,,4,,,3,,2,,,2,,
1,1988,5,8,8,C,4,,6,,1,1,2,2,1,,,,,,4,,6,7,,,,3,,2,,2,,1,,,1,,3,,,3,,2,,,1,,
0,1989,5,2,4,F,2,,5,,1,1,1,1,2,3,,,,,,,,,,,,,,4,,4,,5,,,4,,5,,有點太前衛了,2,,2,,,3,,
1,1962,6,8,8,M,3,,5,,3,3,3,3,1,,,,,,,,,7,,,,3,,1,,1,,1,,,1,,4,,,3,,1,,,1,,
1,1980,6,15,2,M,2,,6,,3,3,2,2,1,,,,,,,,6,7,,,,3,,1,,1,,1,,,1,,1,,,4,,1,,,1,,怎麼還沒有刷臉支付？大陸都用好幾年了
0,1992,5,8,8,M,95,,95,,1,1,3,2,1,,,,,3,,,6,7,,,,4,,2,,3,,5,,,2,,4,,,4,,2,,,5,,
1,1972,6,8,8,O,2,,5,,2,3,1,4,2,1,,,,,,,,,,,,,,4,,4,,5,,,4,,4,,,3,,4,,,5,,
0,1968,5,1,1,M,1,,5,,2,2,2,2,2,1,,,,,,,,,,,,,,4,,3,,1,,,3,,3,,,3,,4,,,2,,
0,1979,5,1,1,U,4,,6,,2,4,2,2,1,,,,,3,,,6,7,,,,3,,1,,1,,1,,,3,,4,,,4,,1,,,2,,
1,1998,5,2,2,S,4,,5,,1,1,3,2,1,,,,,,,,,7,,,,3,,1,,2,,1,,,1,,3,,,3,,2,,,1,,
0,1995,6,8,8,T,3,,5,,3,3,3,2,1,,,,,,,,,7,,,,3,,1,,1,,1,,,3,,4,,,3,,1,,,5,,
0,1985,5,15,15,C,1,,95,,4,4,4,4,2,1,,,,,,,,,,,,,,4,,3,,5,,,1,,4,,,3,,1,,,1,,
0,1963,5,8,8,W,1,,5,,2,2,2,2,2,1,,,,,,,,,,,,,,1,,4,,5,,,1,,4,,,3,,2,,,2,,
0,1972,5,14,14,V,3,,5,,1,1,1,1,1,,,,,3,4,,,,,,,3,,1,,4,,2,,,1,,4,,,3,,2,,,1,,
0,1989,5,8,14,S,4,,5,,2,2,2,3,1,,,1,,3,,,6,7,,,,3,,1,,1,,2,,,3,,3,,,3,,1,,,1,,
0,1986,5,4,4,S,1,,1,,1,1,1,1,1,,,1,2,3,,,,,,,,1,,1,,1,,1,,,1,,1,,,1,,1,,,1,,
0,1989,5,14,14,M,1,,1,,3,3,2,3,1,,,,,,,,,7,,,,1,,1,,4,,5,,,1,,4,,,3,,2,,,1,,
1,1999,5,13,19,T,3,,95,,2,2,3,3,1,,,1,,,,,,,,,,3,,1,,3,,1,,,2,,1,,,3,,2,,,5,,
0,1983,6,2,8,Q,3,,95,,4,4,4,4,2,2,,,,,,,,,,,,,,2,,3,,5,,,3,,3,,,3,,1,,,3,,
1,1976,4,2,2,M,2,,5,,2,2,2,2,1,,,,,,,,6,,,,,2,,2,,2,,2,,,3,,3,,,3,,2,,,2,,
0,1962,5,14,14,S,2,,5,,2,2,2,2,2,1,,,,,,,,,,,,,,2,,4,,1,,,1,,4,,,3,,2,,,2,,
1,1978,5,8,8,Q,1,,5,,4,4,4,4,2,2,,,,,,,,,,,,,,4,,3,,4,,,1,,4,,,4,,5,,,5,,
0,1981,6,8,8,P,2,,5,,3,3,3,3,2,1,,,,,,,,,,,,,,4,,3,,5,,,4,,4,,,4,,5,,,4,,
0,1965,3,2,2,S,3,,5,,4,4,3,2,2,90,怕手機掉了,,,,,,,,,,,,,2,,90,見人見智,4,,,90,萬一機器故障不能刷晶片時怎麼辦,5,,不想變成阿貓阿狗,3,,2,,,5,,
1,1980,6,1,15,T,3,,5,,2,2,2,2,1,,,,2,3,,,,7,,,,3,,2,,2,,1,,,2,,3,,,2,,2,,,2,,
0,1982,4,8,9,C,2,,5,,1,1,1,1,2,1,,,,,,,,,,,,,,1,,3,,4,,,1,,4,,,4,,2,,,1,,
1,1985,5,9,9,C,1,,1,,2,2,2,2,2,1,,,,,,,,,,,,,,3,,3,,2,,,2,,3,,,2,,2,,,2,,
1,1977,4,15,15,A,1,,95,,3,3,3,3,2,1,,,,,,,,,,,,,,2,,4,,4,,,4,,4,,,4,,4,,,5,,
0,1972,3,11,11,M,4,,2,,2,2,2,2,1,,,,,,,,,7,,,,3,,1,,2,,1,,,3,,3,,,3,,1,,,1,,
1,1981,5,2,2,S,1,,5,,4,4,4,4,2,5,,,,,,,,,,,,,,4,,3,,1,,,3,,3,,,3,,2,,,2,,
0,1986,6,2,2,O,5,,6,,1,1,2,2,1,,,1,,3,,,6,7,,,,3,,1,,1,,1,,,3,,4,,,4,,2,,,1,,
1,1966,3,11,11,M,2,,95,,2,2,2,2,2,6,,,,,,,,,,,,3,,3,,3,,4,,,3,,4,,,3,,2,,,2,,
1,1976,5,15,15,M,5,,5,,1,1,1,4,1,,,,,3,,,,,,,,3,,2,,2,,2,,,2,,3,,,2,,2,,,2,,
1,1973,4,2,2,V,1,,5,,4,4,4,4,2,5,,,,,,,,,,,,,,4,,3,,4,,,95,,4,,,3,,2,,,3,,
1,1997,5,11,11,T,2,,95,,2,2,2,2,2,6,,,,,,,,,,,,,,3,,3,,4,,,3,,4,,,3,,2,,,3,,
1,1972,5,14,14,S,5,,5,,2,2,2,3,1,,,,,,,,,7,,,,3,,2,,2,,1,,,2,,1,,,3,,1,,,1,,
1,1962,4,2,2,C,1,,5,,2,2,2,3,2,1,,,,,,,,,,,,,,2,,3,,2,,,1,,4,,,3,,1,,,2,,
1,1974,6,16,15,J,1,,95,,1,1,3,2,1,,,1,2,,,,,7,,,,5,,1,,1,,1,,,1,,4,,,3,,2,,,1,,
1,1962,6,19,19,A,1,,5,,2,2,2,3,1,,,,2,,,,,7,,,,3,,1,,3,,1,,,1,,4,,,3,,1,,,1,,
0,1951,1,11,11,A,1,,95,,4,4,4,4,2,6,,,,,,,,,,,,,,3,,3,,4,,,3,,4,,,3,,4,,,3,,
1,1974,6,4,4,P,1,,5,,4,4,4,4,2,3,,,,,,,,,,,,,,1,,3,,1,,,1,,4,,,3,,2,,,2,,改變帶來風險，適應需要成本，但從中國大陸的經驗來看，這個趨勢是很難抵擋的。
1,1987,6,4,1,S,3,,95,,2,2,2,3,1,,,,,,,,,7,,,,3,,2,,1,,1,,,1,,1,,,3,,2,,,1,,
1,1975,5,2,2,M,3,,5,,3,3,3,3,2,1,,,,,,,,,,,,,,1,,4,,1,,,1,,4,,,4,,2,,,2,,
0,1984,5,11,11,P,4,,95,,2,2,2,2,1,,,,,,,,6,,,,,2,,1,,4,,5,,,3,,4,,,4,,5,,,5,,
1,1988,5,4,4,M,4,,5,,1,1,3,3,1,,,1,,,,,,7,,,,3,,1,,1,,1,,,1,,3,,,3,,1,,,2,,
0,1981,5,14,15,M,3,,5,,2,2,2,2,1,,,,2,,,,,7,,,,2,,3,,1,,2,,,2,,1,,,3,,2,,,1,,
0,1995,5,4,4,S,1,,5,,1,1,2,2,1,,,,2,,,,,,,,,3,,1,,2,,2,,,3,,4,,,3,,1,,,2,,
1,1966,6,1,1,O,2,,5,,3,3,3,3,2,6,,,,,,,,,,,,,,1,,3,,1,,,1,,1,,,1,,2,,,1,,
1,1989,6,1,1,Q,5,,5,,1,2,2,3,1,,,,,,,,,7,,,,3,,1,,1,,1,,,1,,3,,,2,,2,,,1,,
0,1986,5,2,18,V,5,,5,,3,3,3,3,1,,,,,,,,6,,,,,5,,2,,4,,1,,,3,,4,,,2,,1,,,2,,
1,1986,5,1,11,J,4,,5,,1,1,2,2,1,,,1,,,,,6,7,,,,3,,2,,2,,1,,,2,,1,,,2,,2,,,2,,
1,1981,4,15,15,M,5,,5,,1,1,1,4,1,,,,,,,,,7,,,,3,,1,,1,,1,,,4,,3,,,2,,2,,,2,,
0,1975,3,8,8,C,2,,5,,3,3,2,2,1,,,,,3,,,6,7,,,,4,,1,,2,,1,,,1,,3,,,3,,2,,,2,,
0,1966,5,1,1,O,4,,6,,3,2,2,4,1,,,1,2,,,,,,,,,3,,2,,2,,1,,,3,,1,,,2,,1,,,2,,
0,1983,5,2,2,W,2,,5,,1,1,3,1,1,,,1,,,,,6,7,,,,5,,1,,1,,1,,,1,,3,,,3,,1,,,1,,
0,1994,6,15,15,C,4,,95,,2,2,3,3,1,,,,,,,,,7,,,,3,,2,,3,,1,,,4,,3,,,3,,1,,,1,,
0,1997,4,18,2,T,3,,95,,1,1,1,1,1,,,,,,,,,7,,,,4,,1,,1,,1,,,3,,4,,,3,,1,,,1,,
0,1985,5,2,2,V,2,,5,,1,1,2,1,1,,,1,,3,,,6,7,,,,3,,1,,1,,2,,,2,,1,,,1,,1,,,1,,
1,1979,3,13,13,S,5,,5,,1,1,2,1,1,,,1,2,3,4,5,6,7,,,,5,,2,,1,,1,,,1,,1,,,1,,1,,,1,,
0,1975,4,13,13,S,1,,5,,1,1,1,4,2,1,,,,,,,,,,,,,,1,,3,,1,,,3,,4,,,3,,1,,,1,,
1,1979,5,2,14,W,1,,1,,1,1,1,2,1,,,1,,,,,,,,,,1,,3,,3,,4,,,1,,4,,,3,,4,,,3,,
0,1994,5,8,8,N,2,,5,,1,3,2,2,1,,,,,3,,,,,,,,2,,3,,3,,1,,,3,,3,,,3,,4,,,1,,
1,1996,5,2,2,T,3,,5,,3,3,3,3,1,,,,,,,,6,7,,,,3,,1,,3,,1,,,2,,3,,,2,,1,,,2,,
1,1970,5,24,24,S,2,,4,,3,3,3,3,1,,,,,,,,,7,,,,4,,2,,2,,2,,,2,,3,,,2,,2,,,3,,
0,1994,5,1,1,M,1,,1,,2,2,2,2,2,1,,,,,,,,,,,,,,1,,3,,5,,,1,,4,,,3,,4,,,5,,
1,1967,5,15,15,C,4,,5,,2,2,2,2,1,,,,,,,,,7,,,,5,,2,,3,,4,,,1,,3,,,3,,4,,,2,,
0,1976,5,4,4,C,1,,5,,4,4,4,4,1,,,,,,,,,7,,,,3,,1,,1,,1,,,1,,1,,,1,,1,,,2,,
1,1986,5,1,1,M,3,,5,,1,1,3,3,1,,,,2,3,4,,6,7,,,,3,,2,,1,,1,,,2,,3,,,2,,2,,,2,,
1,1985,6,8,10,O,2,,5,,1,1,3,3,1,,,,2,,,,,7,,,,3,,1,,1,,1,,,3,,5,,不喜歡身體內被植入東西,3,,1,,,5,,偏向喜歡新科技導入生活，創造更方便的人生
0,1990,5,2,2,W,3,,5,,1,1,1,1,1,,,1,,,,,6,7,,,,3,,1,,1,,1,,,1,,1,,,1,,1,,,1,,
1,1997,3,3,2,T,1,,1,,2,2,2,2,2,6,,,,,,,,,,,,,,1,,4,,5,,,3,,4,,,3,,2,,,3,,
1,1977,6,15,15,M,2,,2,,1,1,1,1,2,4,,,,,,,,,,,,,,1,,3,,5,,,4,,4,,,4,,2,,,2,,觀望
0,1986,3,2,2,G,1,,1,,2,2,2,2,1,,,,,,,,6,7,,,,1,,1,,3,,4,,,2,,1,,,1,,1,,,1,,
1,1973,5,6,6,C,1,,5,,2,2,2,3,2,90,可用店家太少,,,,,,,,,,,,,2,,4,,1,,,1,,3,,,3,,5,,,5,,
0,1988,6,14,14,P,1,,5,,2,2,2,2,1,,,,,,,,,,,90,Px,91,,1,,3,,1,,,1,,3,,,4,,1,,,1,,Good
1,1997,6,2,8,T,1,,5,,2,2,3,3,1,,,1,,3,,,,7,,,,5,,1,,3,,1,,,1,,4,,,3,,1,,,2,,
1,1979,6,4,4,M,3,,5,,3,3,3,3,1,,,,,,,,6,,,,,1,,1,,3,,5,,,1,,4,,,4,,1,,,5,,
0,2004,3,,11,T,1,,95,,1,4,3,2,2,2,,,,,,,,,,,,,,3,,3,,5,,,4,,4,,,3,,2,,,5,,
0,1973,4,2,2,S,4,,5,,2,2,2,2,1,,,,,,,,6,7,,,,3,,1,,1,,1,,,1,,4,,,4,,1,,,1,,
1,1966,5,14,14,G,1,,5,,1,4,1,4,1,,,,,,,,,7,,,,2,,3,,3,,5,,,3,,4,,,4,,2,,,5,,
0,1989,5,1,2,C,4,,6,,2,2,2,2,1,,,,2,,,,6,7,,,,3,,1,,2,,2,,,3,,4,,,3,,1,,,2,,
1,1963,6,1,14,M,3,,5,,1,2,3,3,1,,,,,,,,6,,,,,4,,1,,2,,1,,,4,,4,,,4,,2,,,2,,
0,1983,6,2,2,S,90,行動支付,5,,2,2,2,2,1,,,1,,3,,,6,7,,,,3,,1,,1,,1,,,1,,3,,,3,,2,,,2,,
1,1985,5,14,14,M,4,,6,,2,2,2,2,1,,,1,,,,,,7,,,,3,,2,,2,,2,,,2,,1,,,2,,1,,,2,,
0,1969,4,2,2,U,5,,5,,4,4,2,2,2,2,,,,,,,,,,,,,,3,,3,,5,,,1,,4,,,3,,2,,,3,,
0,1975,5,9,9,S,4,,5,,4,4,4,3,1,,,,,,,,6,,,,,3,,2,,3,,1,,,1,,4,,,3,,2,,,5,,
1,1959,4,1,1,M,1,,1,,1,1,1,1,1,,,,,,,,,7,,,,1,,1,,1,,1,,,1,,1,,,1,,1,,,1,,
1,1961,3,20,20,W,1,,5,,2,2,2,4,2,4,,,,,,,,,,,,,,3,,3,,1,,,95,,3,,,3,,1,,,1,,
1,1997,5,2,2,F,3,,5,,1,1,1,1,1,,,,,,,,,7,,,,5,,2,,3,,1,,,1,,3,,,3,,1,,,1,,擁抱科技 
0,1991,6,14,14,T,2,,5,,4,4,4,4,2,1,,,,,,,,,,,,,,1,,3,,5,,,1,,4,,,3,,1,,,4,,
1,1970,3,4,4,M,1,,1,,4,4,4,4,2,1,,,,,,,,,,,,,,4,,4,,4,,,95,,3,,,3,,5,,,4,,
1,1988,5,4,19,R,3,,5,,2,2,2,2,1,,,1,,,,,,,,,,4,,1,,1,,1,,,2,,1,,,2,,1,,,2,,
1,1950,4,15,15,W,2,,2,,2,2,2,2,1,,,,,,,,,7,,,,91,,2,,2,,2,,,2,,3,,,2,,2,,,2,,
