Gender,Born year,EDU,Curloc,Residence,Job,平常在超商結帳時，你多半用什麼方式進行付款？,我都用這個：:平常在超商結帳時，你多半用什麼方式進行付款？,在百貨公司結帳時，你多半用什麼方式進行付款？,我都用這個：:在百貨公司結帳時，你多半用什麼方式進行付款？,Apple Pay:猜猜看，哪些是感應式支付、電子支付以及第三方支付呢？,Google Pay:猜猜看，哪些是感應式支付、電子支付以及第三方支付呢？,Line Pay:猜猜看，哪些是感應式支付、電子支付以及第三方支付呢？,街口支付:猜猜看，哪些是感應式支付、電子支付以及第三方支付呢？,你有使用過行動支付嗎？,是什麼原因讓你不使用行動支付呢?,我的情況是：:是什麼原因讓你不使用行動支付呢?,Apple Pay:你主要使用哪些行動支付平台？,Google Pay:你主要使用哪些行動支付平台？,台灣Pay:你主要使用哪些行動支付平台？,Pi錢包:你主要使用哪些行動支付平台？,歐付寶:你主要使用哪些行動支付平台？,街口支付:你主要使用哪些行動支付平台？,LINE Pay:你主要使用哪些行動支付平台？,支付寶:你主要使用哪些行動支付平台？,我使用的支付工具還有這個：:你主要使用哪些行動支付平台？,我使用的支付工具還有這個：:你主要使用哪些行動支付平台？,在使用習慣上，你會覺得現金還是行動支付比較好用？,我覺得是：:在使用習慣上，你會覺得現金還是行動支付比較好用？,你認為使用行動支付是更為方便還是更為麻煩？,我覺得是：:你認為使用行動支付是更為方便還是更為麻煩？,你認為使用行動支付是更為安全還是更為危險？,我覺得是：:你認為使用行動支付是更為安全還是更為危險？,「再也不用帶鈔票或信用卡出門，甚至只要帶手機就可完成日常中所有的交易行為。」乍聽之下像是科幻電影的情節，但經資料顯示，瑞典現今的現金交易僅占整體經濟的1%，甚至有許多小朋友表示從未看過鈔票。（圖片來源：https://reurl.cc/9ZDW5j）同樣的，若台灣仿效瑞典朝向「無現金社會」邁進，你會贊成嗎？,同意，我覺得是：:「再也不用帶鈔票或信用卡出門，甚至只要帶手機就可完成日常中所有的交易行為。」乍聽之下像是科幻電影的情節，但經資料顯示，瑞典現今的現金交易僅占整體經濟的1%，甚至有許多小朋友表示從未看過鈔票。（圖片來源：https://reurl.cc/9ZDW5j）同樣的，若台灣仿效瑞典朝向「無現金社會」邁進，你會贊成嗎？,不同意，我覺得是：:「再也不用帶鈔票或信用卡出門，甚至只要帶手機就可完成日常中所有的交易行為。」乍聽之下像是科幻電影的情節，但經資料顯示，瑞典現今的現金交易僅占整體經濟的1%，甚至有許多小朋友表示從未看過鈔票。（圖片來源：https://reurl.cc/9ZDW5j）同樣的，若台灣仿效瑞典朝向「無現金社會」邁進，你會贊成嗎？,同樣發生在瑞典，在無現金的社會下，早在2009年起，就有四千人選擇在身體植入NFC晶片，只要伸出手來，就可以在商店購物、或乘坐大眾運輸時感應使用。（圖片來源：https://reurl.cc/DvjAl6）看完這則新聞，你對這4000人的想法是什麼？,我的想法是：:同樣發生在瑞典，在無現金的社會下，早在2009年起，就有四千人選擇在身體植入NFC晶片，只要伸出手來，就可以在商店購物、或乘坐大眾運輸時感應使用。（圖片來源：https://reurl.cc/DvjAl6）看完這則新聞，你對這4000人的想法是什麼？,換作是你，你會願意選擇施打晶片嗎？,會，我的原因是：:換作是你，你會願意選擇施打晶片嗎？,不會，我的原因是：:換作是你，你會願意選擇施打晶片嗎？,如果台灣同樣開放施打「電子化晶片」的政策，你覺得民眾是否會買單？,我的想法是：:如果台灣同樣開放施打「電子化晶片」的政策，你覺得民眾是否會買單？,「隨著疫情的爆發，為避免透過鈔票與他人直接接觸，更多人願意加入行動支付的行列。」你同意這個判斷嗎？,同意，我覺得是：:「隨著疫情的爆發，為避免透過鈔票與他人直接接觸，更多人願意加入行動支付的行列。」你同意這個判斷嗎？,不同意，我覺得是：:「隨著疫情的爆發，為避免透過鈔票與他人直接接觸，更多人願意加入行動支付的行列。」你同意這個判斷嗎？,你認為行動支付會成為未來趨勢，還是曇花一現呢？,我的想法是：:你認為行動支付會成為未來趨勢，還是曇花一現呢？,問卷結束囉！科技的發展日新月異，不出幾年就會出現我們未曾想過的發明（例如：虛擬實境、大數據、行動支付⋯⋯等），在驚呼的同時，人們也會對未知的事物保持疑慮。（圖片來源：https://reurl.cc/GdNVXx）對於新發明的誕生，你會選擇擁抱科技還是會適時觀望呢？歡迎寫下你的想法。（如果沒有的話，請按下一頁，開始驗證流程囉！）
0,1997,5,2,2,T,2,,5,,1,2,3,3,1,,,,,,,,,7,,,,3,,1,,1,,1,,,1,,4,,,3,,2,,,1,,
0,1999,5,4,20,T,2,,5,,1,1,1,2,1,,,1,,3,,,,,,,,3,,1,,3,,1,,,4,,4,,,3,,2,,,2,,
1,1985,5,8,8,M,1,,1,,4,4,4,4,1,,,,,,,,,7,,,,5,,3,,3,,1,,,2,,3,,,3,,2,,,2,,
0,1982,5,2,2,F,1,,5,,2,2,2,3,1,,,,,,,,,7,,,,1,,2,,2,,1,,,2,,1,,,2,,1,,,2,,
1,1979,6,4,4,M,1,,1,,1,1,1,1,2,5,,,,,,,,,,,,,,2,,3,,4,,,4,,4,,,4,,2,,,4,,
0,1971,4,2,2,S,1,,95,,4,4,4,4,2,1,,,,,,,,,,,,,,1,,3,,5,,,1,,4,,,2,,1,,,2,,
0,1979,3,2,2,K,1,,5,,2,2,2,2,1,,,,,3,,,6,,,,,1,,2,,2,,1,,,3,,3,,,4,,1,,,1,,
1,1978,4,2,2,C,2,,2,,2,3,2,2,1,,,,,3,,,,,,,,3,,1,,2,,5,,,4,,3,,,3,,2,,,2,,
1,1964,4,9,9,C,5,,5,,4,4,4,4,2,4,,,,,,,,,,,,,,3,,3,,4,,,3,,3,,,2,,1,,,5,,
1,1972,5,1,1,V,2,,95,,1,1,3,2,1,,,,2,,,,6,7,,,,3,,1,,1,,1,,,4,,4,,,4,,2,,,2,,
1,1980,5,6,6,S,2,,5,,3,3,3,3,2,5,,,,,,,,,,,,,,2,,1,,1,,,2,,1,,,2,,1,,,2,,
0,1995,5,15,14,H,1,,5,,1,1,1,1,2,1,,,,,,,,,,,,,,2,,2,,4,,,3,,3,,,2,,2,,,2,,
1,1970,5,15,15,S,4,,5,,1,1,1,1,1,,,,,3,,,,7,,,,91,,2,,1,,2,,,3,,4,,,3,,1,,,1,,
0,1979,5,15,15,H,4,,5,,1,1,2,3,1,,,,,,,,,7,,,,3,,1,,90,一半一半,1,,,1,,5,,怕痛,3,,2,,,1,,
1,1987,5,14,14,C,1,,5,,2,2,2,2,1,,,,,,,,,7,,,,2,,2,,3,,1,,,2,,3,,,2,,1,,,1,,
0,1996,5,3,3,R,2,,5,,1,2,3,3,1,,,1,,,,,,,,,,5,,2,,3,,5,,,1,,4,,,3,,1,,,3,,
0,1979,4,19,19,U,1,,5,,4,4,4,4,2,4,,,,,,,,,,,,,,4,,3,,4,,,3,,4,,,3,,2,,,5,,
1,1969,3,14,15,I,1,,5,,2,3,3,3,2,1,,,,,,,,,,,,,,4,,3,,1,,,3,,4,,,3,,1,,,5,,
0,1969,3,14,14,H,1,,5,,2,2,2,2,2,2,,,,,,,,,,,,,,3,,3,,4,,,3,,3,,,3,,4,,,3,,
1,1991,5,14,14,V,3,,5,,3,3,3,3,1,,,,,,,,,7,,,,3,,2,,2,,4,,,95,,4,,,3,,1,,,1,,
1,1981,6,4,4,S,2,,5,,1,1,3,3,1,,,,2,3,4,,6,7,,,,3,,1,,1,,1,,,3,,4,,,3,,2,,,1,,
1,1969,1,14,14,H,1,,5,,2,2,2,2,2,3,,,,,,,,,,,,,,3,,3,,4,,,3,,3,,,3,,4,,,3,,
0,1971,2,8,8,H,2,,95,,3,3,3,3,2,2,,,,,,,,,,,,,,3,,4,,4,,,95,,4,,,3,,4,,,5,,
0,1992,5,2,2,M,4,,2,,1,4,3,3,1,,,,,,,,,7,,,,3,,1,,2,,1,,,3,,4,,,3,,1,,,2,,
1,1994,5,14,14,F,1,,5,,2,2,2,2,2,2,,,,,,,,,,,,,,3,,3,,4,,,3,,3,,,3,,4,,,3,,
0,1988,5,15,15,C,1,,1,,3,3,3,4,1,,,,,,,,,7,,,,5,,1,,3,,1,,,3,,3,,,3,,1,,,2,,
1,1985,6,2,1,M,2,,5,,1,1,2,2,2,3,,,,,,,,,,,,,,1,,3,,5,,,1,,4,,,3,,1,,,1,,
0,1990,5,2,1,Q,5,,5,,4,4,4,4,1,,,,,,,,,,8,,,2,,2,,3,,4,,,4,,3,,,3,,4,,,3,,
0,1981,4,1,1,F,1,,5,,2,2,2,3,2,4,,,,,,,,,,,,,,1,,90,安全吧!不是搶劫的問題,1,,,2,,3,,,3,,1,,,2,,
